"name","group"
"construction scaffolder","Building frame and related trades workers not elsewhere classified"
"paperhanger supervisor","Construction supervisors"
"ambassador","Senior government officials"
"digital prototyper","Garment and related pattern-makers and cutters"
"masseur/masseuse","Beauticians and related workers"
"dry house attendant","Chemical products plant and machine operators"
"domestic appliances shop manager","Retail and wholesale trade managers"
"harpsichord maker","Musical instrument makers and tuners"
"high rigger","Riggers and cable splicers"
"media scientist","Sociologists, anthropologists and related professionals"
"education welfare officer","Social work and counselling professionals"
"translator","Translators, interpreters and other linguists"
"container equipment assembler","Sheet-metal workers"
"social service consultant","Policy administration professionals"
"mechatronics assembler","Mechanical machinery assemblers"
"video and motion picture director","Graphic and multimedia designers"
"credit adviser","Credit and loans officers"
"toilet attendant","Cleaners and helpers in offices, hotels and other establishments"
"watch and clock repairer","Precision-instrument makers and repairers"
"horticulture worker","Gardeners, horticultural and nursery growers"
"stage manager","Other artistic and cultural associate professionals"
"baker","Bakers, pastry-cooks and confectionery makers"
"water treatment systems operator","Incinerator and water treatment plant operators"
"science teacher secondary school","Secondary education teachers"
"financial auditor","Accountants"
"hotel concierge","Client information workers not elsewhere classified"
"chemical application specialist","Chemists"
"event manager","Conference and event planners"
"medical goods shop manager","Retail and wholesale trade managers"
"transport health and safety inspector","Environmental and occupational health inspectors and associates"
"liquid waste treatment plant operator","Incinerator and water treatment plant operators"
"footwear production machine operator","Shoemaking and related machine operators"
"crop production manager","Mixed crop growers"
"finishing textile technician","Bleaching, dyeing and fabric cleaning machine operators"
"land-based machinery operator","Mobile farm and forestry plant operators"
"illustrator","Graphic and multimedia designers"
"wind energy engineer","Engineering professionals not elsewhere classified"
"fire service vehicle operator","Heavy truck and lorry drivers"
"stand-in","Other artistic and cultural associate professionals"
"nursing lecturer","University and higher education teachers"
"snow-clearing worker","Earthmoving and related plant operators"
"geological engineer","Civil engineers"
"mixed farmer","Mixed crop and animal producers"
"electrical equipment inspector","Product graders and testers (excluding foods and beverages)"
"equipment engineer","Mechanical engineers"
"tumbling machine operator","Metal finishing, plating and coating machine operators"
"meteorologist","Meteorologists"
"zoo curator","Sports, recreation and cultural centre managers"
"aerospace engineering drafter","Draughtspersons"
"industrial firefighter","Fire-fighters"
"tanner","Fur and leather preparing machine operators"
"leather goods hand cutting operator","Shoemakers and related workers"
"marine electronics technician","Electronics mechanics and servicers"
"disc jockey","Creative and performing artists not elsewhere classified"
"fundraising assistant","Administrative and executive secretaries"
"sports equipment repair technician","Handicraft workers not elsewhere classified"
"ergonomist","Environmental and occupational health and hygiene professionals"
"grinding machine operator","Metal working machine tool setters and operators"
"automotive designer","Product and garment designers"
"publishing rights manager","Business services agents not elsewhere classified"
"online sales channel manager","Sales and marketing managers"
"special forces officer","Non-commissioned armed forces officers"
"production plant crane operator","Crane, hoist and related plant operators"
"electromechanical drafter","Draughtspersons"
"insurance rating analyst","Financial analysts"
"water jet cutter operator","Metal working machine tool setters and operators"
"brew house operator","Food and related products machine operators"
"power lines supervisor","Construction supervisors"
"aircraft fuel system operator","Heavy truck and lorry drivers"
"dance teacher","Other arts teachers"
"animal handler","Pet groomers and animal care workers"
"import export manager in flowers and plants","Supply, distribution and related managers"
"special educational needs assistant","Teachers’ aides"
"locker room attendant","Elementary workers not elsewhere classified"
