"name","group"
"test edge crush","skill"
"tend metal fastener machine","skill"
"animal food products","skill"
"carry out veterinary professional communication to the public","skill"
"manage pain for veterinary patients","skill"
"supervise animal handling for veterinary activities","skill"
"human dynamics as part of hospitality security","skill"
"deal with unforeseen incidents in hospitality","skill"
"set standards for handling valuables","skill"
"screenwriting theories","skill"
"develop script bible","skill"
"create a shooting script","skill"
"summarise stories","skill"
"create ceramic work by hand","skill"
"create specific enamels","skill"
"add slabs to ceramic work","skill"
"create ceramic objects","skill"
"add coils to ceramic work","skill"
"compression moulding machine parts","skill"
"tend compression moulding machine","skill"
"graphite","skill"
"captioning software","skill"
"condense information","skill"
"describe scenes","skill"
"translate soundtrack","skill"
"type at speed","skill"
"tobacco manufacturing regulations","skill"
"apply tobacco manufacturing requirements","skill"
"regulate flow of shredded tobacco","skill"
"assess moisture levels in tobacco leaves","skill"
"separate tobacco shreds by size","skill"
"perform detailed tobacco manufacturing operations","skill"
"administer additives to tobacco","skill"
"tend cigarette making machine","skill"
"supervise religious organisations","skill"
"perform religious rituals","skill"
"Arabic","skill"
"islamic studies","skill"
"Sanskrit","skill"
"Hebrew","skill"
"Latin","skill"
"perform puja","skill"
"ordain religious officials","skill"
"participate in rabbinical court proceedings","skill"
"resolve difficult account allocation cases","skill"
"keep track of expenses","skill"
"advise customers on bicycles","skill"
"tend flammable mixture machines","skill"
"pour mix into rubber pouches","skill"
"sift powder","skill"
"tend tumbling barrels","skill"
"tend ball mill","skill"
"instruct crew in operations of technical shore-based facilities","skill"
"monitor crew members operating engines","skill"
"assume highest level of responsibility in inland water transportation","skill"
"monitor goods movement","skill"
"conduct forklift inspections","skill"
"estimate distances","skill"
"transfer stock","skill"
"use telescopic handlers","skill"
"herpetology","skill"
"lepidoptery","skill"
"ornithology","skill"
"mycology","skill"
"mammalogy","skill"
"entomology","skill"
"create natural science taxonomies","skill"
"set up drip irrigation system","skill"
"install stationary sprinkler system","skill"
"fertigation","skill"
"install SSTI system","skill"
"conduct clinical research","skill"
"oversee clinical information system activities","skill"
"design infrastructure for surface mines","skill"
"manage geotechnical staff","skill"
"interpret seismic data","skill"
"receive veterinary clients and their animals for appointments","skill"
"maintain the veterinary reception area","skill"
"sale of veterinary materials","skill"
"organise tree plantations","skill"
"organise harvests","skill"
"coordinate forestry research","skill"
"interact with clients in forestry","skill"
"organise operations within the fuel station","skill"
"perform fuel reconciliation","skill"
"adjust fuel prices in line with company procedures","skill"
"supervise employees on operating fuel pumps","skill"
"manage financial transactions of fuel station","skill"
"organise employees' work in the service station","skill"
"issue permits","skill"
"manage construction archive","skill"
"present items during auction","skill"
"perform auction chant","skill"
"facilitate the bidding process","skill"
"close sales at auction","skill"
"keep records of bid history","skill"
"exude enthusiasm during the action sessions","skill"
"plan retail space","skill"
"liaise with buyers to plan products for the store","skill"
"decide on products to be stocked","skill"
"perform maintenance on fire alarm systems","skill"
"utilise machine learning","skill"
"conform to alcohol regulations","skill"
"sommelier activities","skill"
"beverages production process","skill"
"evaluate cost of software products","skill"
"manage software localisation","skill"
"analyse ICT technical proposals","skill"
"comparative literature","skill"
"develop biochemical manufacturing training materials","skill"
"develop biocatalytic processes","skill"
"conduct quality assurance checks on aircraft cargo","skill"
"lay stones","skill"
"use pneumatic chisel","skill"
"test improved aeronautical information management systems","skill"
"maintain up-to-date aeronautical information management services","skill"
"enforce park rules","skill"
"oversee the use of the land within the park","skill"
"care for the wildlife","skill"
"analyse tree population","skill"
"carpentry","skill"
"manage buildings' damp problems","skill"
"identify condensation problems","skill"
"handle touristic quantitative data","skill"
"sell household appliances","skill"
"operate middlings purifier","skill"
"operate separators for flour","skill"
"operate screen printing equipment for textiles","skill"
"communicate with stakeholders to anticipate increases in demand for transport","skill"
"develop passenger outreach strategies","skill"
"develop mobility programmes","skill"
"manage company fleet","skill"
"design procedures for the relocation of specific goods","skill"
"wind wires","skill"
"outplacement","skill"
"evaluate benefit plans","skill"
"oversee the daily train operations plan","skill"
"operate train integrated electronic control centre","skill"
"manage train working timetable","skill"
"determine train operational safety actions","skill"
"tube filling systems","skill"
"manage volunteers in second-hand shop","skill"
"determine marketability of second-hand goods","skill"
"manage donated goods in second-hand shop","skill"
"maintain reception area","skill"
"allocate badges","skill"
"assist blood sample collection","skill"
"groom carpets","skill"
"operate carpet centrifugal machine","skill"
"advise on dating","skill"
"set up dates","skill"
"match people","skill"
"use personality tests","skill"
"advise on online dating","skill"
"perform dating coaching","skill"
"gemology","skill"
"gemstone grading systems","skill"
"recognise fake goods","skill"
"immerse gemstones in chemical liquid","skill"
"write gemstone grading report","skill"
"identify gemstones","skill"
"use gemstone identification equipment","skill"
"determine origin of gemstones","skill"
"assist physiotherapists","skill"
"support discharge from physiotherapy","skill"
"set up consumer electronics","skill"
"sell consumer electronics","skill"
"calculate gear ratio","skill"
"refurbish facilities","skill"
"assist people trapped in confined spaces","skill"
"secure premises","skill"
"identify surveillance devices","skill"
"search for explosive devices","skill"
"provide protective escort","skill"
"produce wind musical instrument components","skill"
"perform HACCP inspections for aquatic organisms","skill"
"implement traceability systems","skill"
"advise on aquaculture products supply chain","skill"
"cut trees to clear public access","skill"
"perform forest diseases control","skill"
"coordinate new sites preparation","skill"
"manage port operations","skill"
"theatre pedagogy","skill"
"develop measuring equipment","skill"
"encourage staff in cleaning activities","skill"
"manage archive","skill"
"create open drainage systems","skill"
"maintain game area","skill"
"redistribute wagered money","skill"
"deal cards","skill"
"participate in games for player distribution","skill"
"compute results of games","skill"
"check stability of materials","skill"
"check durability of materials","skill"
"check strength of materials","skill"
"carry out humane harvesting practices","skill"
"apply prescribed herbicides","skill"
"maintain forest roads","skill"
"vegetation control","skill"
"monitor workload","skill"
"trade future commodities","skill"
"arrange student accommodation","skill"
"tend coagulation tanks","skill"
"develop rubber crumb slurry","skill"
"extract fatty acid","skill"
"lead a team in water management","skill"
"conserve water resource","skill"
"design sprinkler systems","skill"
"develop watering schedules","skill"
"design piers","skill"
"design weirs","skill"
"store sorted waste","skill"
"read people","skill"
"demining operations","skill"
"operate metal detection equipment","skill"
"disarm land mine","skill"
"identify land mines","skill"
"install electricity meter","skill"
"work with e-services available to clients","skill"
"monitor quality of broadcasts","skill"
"select recording source","skill"
"set up broadcast equipment","skill"
"set up portable field transmission equipment","skill"
"adjust video transmissions","skill"
"maintain broadcast equipment","skill"
"broadcast using Internet Protocol","skill"
"signal cues to announcers","skill"
"align antennae with receiving dishes","skill"
"forecast human population trends","skill"
"Bachelor of Biochemistry and Biotechnology","University of Antwerp"
"Bachelor of Biology","University of Antwerp"
"Bachelor of Biomedical Sciences","University of Antwerp"
"Bachelor of Chemistry","University of Antwerp"
"Bachelor of Communication Studies","University of Antwerp"
"Bachelor of Veterinary Medicine","University of Antwerp"
"Bachelor of Pharmaceutical Sciences","University of Antwerp"
"Bachelor of Physics","University of Antwerp"
"Bachelor of Medicine","University of Antwerp"
"Bachelor of History","University of Antwerp"
"Bachelor of Computer Science","University of Antwerp"
"Bachelor of Political Science","University of Antwerp"
"Bachelor of Laws","University of Antwerp"
"Bachelor of Social and Economic Sciences","University of Antwerp"
"Bachelor of Sociology","University of Antwerp"
"Bachelor of Linguistics and Literature: Dutch - English","University of Antwerp"
"Bachelor of Applied Economics: Business Economics","University of Antwerp"
"Bachelor of Applied Economics: Economic Policy","University of Antwerp"
"Bachelor of Philosophy","University of Antwerp"
"Bachelor of Mathematics","University of Antwerp"
"Bachelor of Architecture","University of Antwerp"
"Bachelor of Interior Architecture","University of Antwerp"
"Bachelor of Conservation-Restoration","University of Antwerp"
"Bachelor of Rehabilitation Sciences and Physiotherapy","University of Antwerp"
"Bachelor of Product Development","University of Antwerp"
"Bachelor of Civil Engineering Technology","University of Antwerp"
"Bachelor of Chemical Engineering Technology","University of Antwerp"
"Bachelor of Electronics and ICT Engineering Technology","University of Antwerp"
"Bachelor of Electromechanical Engineering Technology","University of Antwerp"
"Bachelor of Applied Language Studies: German-English","University of Antwerp"
"Academic Teacher Education - degree of Teacher","University of Antwerp"
"Master of Biochemistry and Biotechnology: Molecular and Cellular Gene Biotechnology","University of Antwerp"
"Master of Biology: Cell and System Biology","University of Antwerp"
"Master of Biology: Evolution and Behaviour Biology","University of Antwerp"
"Master of Biology: Ecology and Environment","University of Antwerp"
"Master of Biology: Biodiversity: conservation and restoration","University of Antwerp"
"Master of Biomedical Sciences: Neurosciences","University of Antwerp"
"Master of Biomedical Sciences: Molecular and Cellular Biomedical Sciences","University of Antwerp"
"Master of Biomedical Sciences: Infectious and Tropical Diseases","University of Antwerp"
"Master of Biomedical Sciences: Clinical Sciences","University of Antwerp"
"Master of Biomedical Sciences: Environment and Health Sciences","University of Antwerp"
"Master of Chemistry","University of Antwerp"
"Master of Communication Studies: Strategic Communication","University of Antwerp"
"Master of Communication Studies: Media studies","University of Antwerp"
"Master of Pharmaceutical Care","University of Antwerp"
"Master of Physics","University of Antwerp"
"Master of Medicine","University of Antwerp"
"Master of Drug Development: Pharmacist","University of Antwerp"
"Master of Drug Development: Bio-Pharmaceutical Sciences","University of Antwerp"
"Master of History","University of Antwerp"
"Master of Computer Science: Computer Networks and Distributed Systems","University of Antwerp"
"Master of Computer Science: Data Science","University of Antwerp"
"Master of Computer Science: Software Engineering","University of Antwerp"
"Master of Multilingual Professional Communication","University of Antwerp"
"Master of Instructional and Educational Sciences","University of Antwerp"
"Master of Political Communication","University of Antwerp"
"Master of Laws","University of Antwerp"
"Master of Social and Economic Sciences","University of Antwerp"
"Master of Sociology","University of Antwerp"
"Master of Linguistics and Literature: English-Dutch","University of Antwerp"
"Master of Linguistics","University of Antwerp"
"Master of Theatre and Film Studies","University of Antwerp"
"Master of Applied Economic Sciences: Business Economics","University of Antwerp"
"Master of Applied Economics: Economic Policy","University of Antwerp"
"Master of Applied Economic Sciences: Business Engineering","University of Antwerp"
"Master of Nursing and Midwifery","University of Antwerp"
"Master of Philosophy","University of Antwerp"
"Master of Mathematics: Fundamental Mathematics","University of Antwerp"
"Master of Culture Management","University of Antwerp"
"Master of Social Work and Welfare Studies","University of Antwerp"
"Master of Applied Economic Sciences: Economic Policy","University of Antwerp"
"Master of Environmental Science","University of Antwerp"
"Master of Filmstudies and Visual Culture","University of Antwerp"
"Master of Computer Science: Computernetworks and distributed systems","University of Antwerp"
"Master of Computer Science: Software engineering","University of Antwerp"
"Master of Organisation and Management","University of Antwerp"
"Master of Epidemiology","University of Antwerp"
"Master of Safety Science","University of Antwerp"
"Master of Architecture","University of Antwerp"
"Master of Interior Architecture","University of Antwerp"
"Master of Urbanism and Spatial Planning","University of Antwerp"
"Master of Conservation-Restoration","University of Antwerp"
"Master of Rehabilitation Sciences and Physiotherapy: Musculoskeletal Conditions","University of Antwerp"
"Master of Rehabilitation Sciences and Physiotherapy: Teacher Training","University of Antwerp"
"Master of Rehabilitation Sciences and Physiotherapy: Neurological Conditions","University of Antwerp"
"Master [120] in European Studies","UCL"
"Master [120] in Law","UCL"
"Specialised master in European law","UCL"
"Specialised master in international law","UCL"
"Master [120] in Law (shift schedule)","UCL"
"Minor in law (open)","UCL"
"Bachelor in Law","UCL"
"Master [120] in Translation","UCL"
"Specialised master in tax law","UCL"
"Master [120] in Information and Communication","UCL"
"Master [120] in Communication","UCL"
"Master [120] in Journalism","UCL"
"Master [120] in Human Resources Management","UCL"
"Master [120] in Multilingual Communication","UCL"
"Master [60] in Information and Communication","UCL"
"Master [120] in Population and Development Studies","UCL"
"Minor in Economics (open)","UCL"
"Minor  in Economics","UCL"
"Bachelor in Economics and Management","UCL"
"Bachelor in Philosophy, Politics and Economics","UCL"
"Additionnal module in Management","UCL"
"Bachelor in Business Engineering","UCL"
"Additionnal module in Mathematics","UCL"
"Minor in Mangement (basic knowledge)","UCL"
"Master [120] in Public Administration","UCL"
"Additionnal module in Economics","UCL"
"Master [120] in Chemistry and Bioindustries","UCL"
"Master [120] in Agricultural Bioengineering","UCL"
"Master [120] in Environmental Bioengineering","UCL"
"Master [120] in Forests and Natural Areas Engineering","UCL"
"Master [120] in Agriculture and Bio-industries","UCL"
"Master [120] in Economics: General","UCL"
"Master [60] in Economics : General","UCL"
"Master [120] in Geography : General","UCL"
"Master [120] in Ethics","UCL"
"Master [120] in Philosophy","UCL"
"Master [60] in Philosophy","UCL"
"Master [120] in Economics: Econometrics","UCL"
"Master [120] in Statistics: General","UCL"
"Master [120] in Political Sciences: International Relations","UCL"
"Master [60] in Political Sciences: General","UCL"
"Master [120] in Political Sciences: General","UCL"
"Master [120] in Ancient Languages and Literatures: Oriental Studies","UCL"
"Master [120] in History","UCL"
"Master [60] in Management","UCL"
"Minor in Political Sciences","UCL"
"Minor in Human and Social Sciences","UCL"
"Bachelor in Political Sciences: General","UCL"
"Master [60] in Labour Sciences (shift schedule)","UCL"
"Master [120] in Labour sciences (shift schedule)","UCL"
"Master [120] in Sociology","UCL"
"Master [120] in Ancient Languages and Literatures: Classics","UCL"
"Master [60] in Ancient Languages and Literatures : Oriental Studies","UCL"
"Master [60] in History","UCL"
"Master [60] in History of Art and Archaeology : General","UCL"
"Master [120] in History of Art and Archaeology : General
","UCL"
"Master [120] in Anthropology","UCL"
"Master [120] in Ancient and Modern Languages and Literatures","UCL"
"Master [120] in French and Romance Languages and Literatures : French as a Foreign Language","UCL"
"Master [120] in Linguistics","UCL"
"Master [120] in Sciences of Religions","UCL"
"Minor in Linguistics","UCL"
"Bachelor in Modern Languages and Literatures: German, Dutch and English","UCL"
"Minor in English Studies","UCL"
"Bachelor in Modern Languages and Literatures : General","UCL"
"Minor in Literary Studies","UCL"
"Teacher Training Certificate (upper secondary education) - Modern Languages and Literatures : General","UCL"
"Master [120] in Modern Languages and Literatures : General","UCL"
"Master [120] in Modern Languages and Literatures : German, Dutch and English","UCL"
"Teacher Training Certificate (upper secondary education) - Modern Languages and Literatures : German, Dutch and English","UCL"
"Master [60] in Modern Languages and Literatures : German, Dutch and English","UCL"
"Master [60] in Modern Languages and Literatures : General","UCL"
"Specialised master in gender studies","UCL"
"Master [120] in Psychology","UCL"
"Master [60] in History of Art and Archaeology: Musicology","UCL"
"Specialised master in visual cultures","UCL"
"Master [120] in History of Art and Archaeology: Musicology","UCL"
"Master [120] in Interpreting","UCL"
"Master [120] in Business Engineering","UCL"
"Master [120] in Management","UCL"
"Additional module in computer science","UCL"
"Master [120] in Actuarial Science","UCL"
"Master [120] in data Science: Statistic","UCL"
"Master [120] in Motor Skills: Physical Education","UCL"
"Master [120] in Electrical Engineering","UCL"
"Master [120] in Civil Engineering","UCL"
"Master [120] in Computer Science and Engineering","UCL"
"Master [120] in Computer Science","UCL"
"Master [120] in Electro-mechanical Engineering","UCL"
"Master [120] in Mechanical Engineering","UCL"
"Master [120] in Physical Engineering ","UCL"
"Master [120] in Chemical and Materials Engineering","UCL"
"Master [120] in Mathematical Engineering","UCL"
"Master [120] in Biomedical Engineering","UCL"
"Master [120] in Speech and Language Therapy","UCL"
"Master [120] in Biochemistry and Molecular and Cell Biology","UCL"
"Master [120] in Environmental Science and Management","UCL"
"Minor in Development and Environment","UCL"
"Specialised master in brewing engineering","UCL"
"Master [60] in Biology","UCL"
"Master [60] in Environmental Science and Management","UCL"
"Master [120] in Data Sciences Engineering","UCL"
"Master [120] in data Science: Information technology","UCL"
"Master [120] in Statistics: Biostatistics","UCL"
"Master [120] in Physics","UCL"
"Master [120] in Architecture and Engineering","UCL"
"Master [60] in Computer Science","UCL"
"Minor in Engineering Sciences: Applied Mathematics","UCL"
"Bachelor in Engineering","UCL"
"Master [120] in Mathematics","UCL"
"Master [120] in Chemistry","UCL"
"Minor in Population and Development Studies","UCL"
"Bachelor in Biology","UCL"
"Minor in Scientific Culture","UCL"
"Master [60] in Chemistry","UCL"
"Master [60] in Geography : General","UCL"
"Master [120] in Geography : Climatology","UCL"
"Master [60] in Mathematics","UCL"
"Additionnal module in Physics","UCL"
"Master [60] in Physics","UCL"
"Bachelor in Physics","UCL"
"Minor in Physics","UCL"
"Master [120] in Biomedicine","UCL"
"Bachelor in Veterinary Medicine","UCL"
"Master [60] in Biomedicine","UCL"
"Master [180] in Medecine","UCL"
"Master [240] in Medecine","UCL"
"Minor in Sociology and Anthropology","UCL"
"Bachelor in Human and Social Sciences","UCL"
"Bachelor in Sociology and Anthropology","UCL"
"Master [120] in Public Health","UCL"
"Master de specialisation en methodologie de la sante publique - Specialized master in public health methodology","UCL"
"Architecture","Uliege"
"Droit","Uliege"
"Histoire","Uliege"
"Histoire de l'art et archeologie, orientation generale","Uliege"
"Histoire de l'art et archeologie, orientation musicologie","Uliege"
"Information et communication","Uliege"
"Ingenieur de gestion","Uliege"
"Kinesitherapie et readaptation","Uliege"
"Langues et lettres anciennes, orientation classiques","Uliege"
"Langues et lettres anciennes, orientation orientales","Uliege"
"Langues et lettres francaises et romanes, orientation generale","Uliege"
"Langues et lettres modernes, orientation generale","Uliege"
"Langues et lettres modernes, orientation germaniques","Uliege"
"Medecine","Uliege"
"Medecine veterinaire","Uliege"
"Philosophie","Uliege"
"Sciences biologiques","Uliege"
"Sciences biomedicales","Uliege"
"Sciences chimiques","Uliege"
"Sciences de l'ingenieur, orientation bioingenieur","Uliege"
"Sciences de l'ingenieur, orientation ingenieur civil","Uliege"
"Sciences de l'ingenieur, orientation ingenieur civil architecte","Uliege"
"Sciences de la motricite, orientation generale","Uliege"
"Sciences dentaires","Uliege"
"Sciences economiques et de gestion","Uliege"
"Sciences geographiques, orientation generale","Uliege"
"Sciences geologiques","Uliege"
"Sciences humaines et sociales","Uliege"
"Sciences humaines et sociales (Nouveau programme)","Uliege"
"Sciences informatiques","Uliege"
"Sciences mathematiques","Uliege"
"Sciences pharmaceutiques","Uliege"
"Sciences physiques","Uliege"
"Sciences politiques, orientation generale","Uliege"
"Sciences psychologiques et de l'education, orientation generale","Uliege"
"Sciences psychologiques et de l'education, orientation logopedie","Uliege"
"Sociologie et anthropologie","Uliege"
"Traduction et interpretation","Uliege"
"Bioingenieur en chimie et bioindustries, a finalite","Uliege"
"Bioingenieur en gestion des forets et des espaces naturels, a finalite","Uliege"
"Bioingenieur en sciences agronomiques, a finalite","Uliege"
"Bioingenieur en sciences et technologies de l'environnement, a finalite","Uliege"
"Ingenieur civil architecte, a finalite","Uliege"
"Ingenieur civil biomedical, a finalite","Uliege"
"Ingenieur civil des constructions, a finalite","Uliege"
"Ingenieur civil des constructions, a finalite specialisee en ""sustainable constructions under natural hazards and catastrophic events (SUSCOS)"" (Erasmus mundus)","Uliege"
"Ingenieur civil des mines et geologue, a finalite","Uliege"
"Ingenieur civil des mines et geologue, a finalite specialisee en ""geometallurgy (EMERALD)"" (Erasmus mundus)","Uliege"
"Ingenieur civil electricien, a finalite","Uliege"
"Ingenieur civil electromecanicien, a finalite","Uliege"
"Ingenieur civil en aerospatiale, a finalite","Uliege"
"Ingenieur civil en aerospatiale, a finalite specialisee en ""turbomachinery aeromechanics (THRUST)"" (Erasmus mundus)","Uliege"
"Ingenieur civil en chimie et science des materiaux, a finalite","Uliege"
"Ingenieur civil en informatique, a finalite","Uliege"
"Ingenieur civil en science des donnees, a finalite","Uliege"
"Ingenieur civil mecanicien, a finalite","Uliege"
"Ingenieur civil physicien, a finalite","Uliege"
"Architecte paysagiste, a finalite","Uliege"
"Agroecologie, a finalite","Uliege"
"Anthropologie, a finalite","Uliege"
"Architecture, a finalite","Uliege"
"Architecture des systemes informatiques","Uliege"
"Arts du spectacle, a finalite","Uliege"
"Arts du spectacle, a finalite ((Master international))","Uliege"
"Biochimie et biologie moleculaire et cellulaire, a finalite","Uliege"
"Bioinformatique et modelisation, a finalite","Uliege"
"Biologie des organismes et ecologie, a finalite","Uliege"
"Communication, a finalite","Uliege"
"Communication multilingue, a finalite","Uliege"
"Criminologie, a finalite","Uliege"
"Droit, a finalite","Uliege"
"Droit, a finalite specialisee en droit et gestion","Uliege"
"Droit, a finalite specialisee en gestion","Uliege"
"Gestion des ressources humaines, a finalite","Uliege"
"Histoire, a finalite","Uliege"
"Histoire de l'art et archeologie, orientation archeometrie, a finalite","Uliege"
"Histoire de l'art et archeologie, orientation generale, a finalite","Uliege"
"Histoire de l'art et archeologie, orientation musicologie, a finalite","Uliege"
"Ingenierie de la prevention et de la gestion des conflits","Uliege"
"Ingenieur de gestion, a finalite","Uliege"
"Interpretation, a finalite","Uliege"
"Journalisme, a finalite","Uliege"
"Langues et lettres anciennes, orientation classiques, a finalite","Uliege"
"Langues et lettres anciennes, orientation orientales, a finalite","Uliege"
"Langues et lettres francaises et romanes, orientation francais langue etrangere, a finalite","Uliege"
"Langues et lettres francaises et romanes, orientation generale, a finalite","Uliege"
"Langues et lettres modernes, orientation generale, a finalite","Uliege"
"Langues et lettres modernes, orientation germaniques, a finalite","Uliege"
"Linguistique, a finalite","Uliege"
"Logopedie, a finalite","Uliege"
"Management de l'innovation et de la conception des aliments, a finalite","Uliege"
"Oceanographie, a finalite","Uliege"
"Oceanographie, a finalite (MER - Erasmus mundus)","Uliege"
"Philosophie, a finalite","Uliege"
"Science des donnees, a finalite","Uliege"
"Sciences biomedicales, a finalite","Uliege"
"Sciences chimiques, a finalite","Uliege"
"Sciences chimiques, a finalite (AMIS)","Uliege"
"Sciences de gestion","Uliege"
"Sciences de gestion, a finalite","Uliege"
"Sciences de gestion, a finalite (H.D.)","Uliege"
"Sciences de gestion, a finalite specialisee en droit","Uliege"
"Sciences de gestion, a finalite specialisee en droit et gestion","Uliege"
"Sciences de gestion (H.D.)","Uliege"
"Sciences de l'education, a finalite","Uliege"
"Sciences de la motricite, orientation education physique","Uliege"
"Sciences de la motricite, orientation education physique, a finalite","Uliege"
"Sciences de la motricite, orientation generale, a finalite","Uliege"
"Sciences de la population et du developpement, a finalite","Uliege"
"Sciences de la sante publique, a finalite","Uliege"
"Sciences du travail","Uliege"
"Sciences du travail, a finalite","Uliege"
"Sciences du travail, a finalite (en alternance)","Uliege"
"Sciences economiques, orientation generale","Uliege"
"Sciences economiques, orientation generale, a finalite","Uliege"
"Sciences et gestion de l'environnement","Uliege"
"Sciences et gestion de l'environnement, a finalite","Uliege"
"Sciences geographiques, orientation climatologie, a finalite","Uliege"
"Sciences geographiques, orientation generale, a finalite","Uliege"
"Sciences geographiques, orientation geomatique et geometrologie, a finalite","Uliege"
"Sciences geologiques, a finalite","Uliege"
"Sciences informatiques, a finalite","Uliege"
"Sciences mathematiques, a finalite","Uliege"
"Sciences pharmaceutiques, a finalite","Uliege"
"Sciences physiques, a finalite","Uliege"
"Sciences physiques, a finalite (AMIS)","Uliege"
"Sciences politiques, orientation generale, a finalite","Uliege"
"Sciences politiques, orientation generale, a finalite (CATANE (IN))","Uliege"
"Sciences politiques, orientation generale, a finalite (CATANE (OUT))","Uliege"
"Sciences politiques, orientation generale, a finalite (en Science, Technologie et Societe (STS))","Uliege"
"Sciences psychologiques, a finalite","Uliege"
"Sciences spatiales, a finalite","Uliege"
"Sociologie, a finalite","Uliege"
"Sociologie, a finalite specialisee en Immigration Studies (Double diplomation IN)","Uliege"
"Sociologie, a finalite specialisee en Immigration Studies (Double diplomation OUT)","Uliege"
"Traduction, a finalite","Uliege"
"Medecin (180C)","Uliege"
"Medecin veterinaire","Uliege"
"Anatomie pathologique","Uliege"
"Anesthesie-reanimation","Uliege"
"Biologie clinique ((sciences de la sante))","Uliege"
"Biologie clinique ((sciences pharmaceutiques))","Uliege"
"Conservation-restauration du patrimoine culturel immobilier","Uliege"
"Construction navale","Uliege"
"Construction navale (EMSHIP - Erasmus mundus)","Uliege"
"Dermato-venereologie","Uliege"
"Dermopharmacie et cosmetologie","Uliege"
"Developpement, environnement et societes","Uliege"
"Droit europeen","Uliege"
"Droit fiscal","Uliege"
"Entrepreneuriat","Uliege"
"Etudes de genre","Uliege"
"Gastro-enterologie","Uliege"
"Genie nucleaire","Uliege"
"Gestion des donnees de sante","Uliege"
"Gestion des ressources aquatiques et aquaculture","Uliege"
"Gestion des risques et bien-etre au travail","Uliege"
"Gestion des risques et des catastrophes","Uliege"
"Gestion des risques financiers","Uliege"
"Gestion durable de l'energie","Uliege"
"Gestion integree des risques sanitaires dans les pays du sud","Uliege"
"Medecine du travail","Uliege"
"Medecine nucleaire","Uliege"
"Medecine physique et en readaptation","Uliege"
"Medecine veterinaire specialisee","Uliege"
"Nanotechnologie","Uliege"
"Notariat","Uliege"
"Oncologie medicale","Uliege"
"Pedagogie universitaire et de l'enseignement superieur","Uliege"
"Pharmacie d'industrie","Uliege"
"Pharmacie hospitaliere","Uliege"
"Production integree et preservation des ressources naturelles en milieu urbain et peri-urbain","Uliege"
"Sciences et gestion de l'environnement dans les pays en developpement","Uliege"
"Sciences veterinaires : internat clinique","Uliege"
"Transport et logistique","Uliege"
"Urbanisme et amenagement du territoire","Uliege"
"Sciences (BBMC)","Uliege"
"Sciences economiques et de gestion (Sciences de gestion)","Uliege"
"Sciences veterinaires","Uliege"
"Agrege de l'enseignement secondaire superieur (Architecture)","Uliege"
"Agrege de l'enseignement secondaire superieur (Education physique)","Uliege"
"Agrege de l'enseignement secondaire superieur (Francais langue etrangere)","Uliege"
"Agrege de l'enseignement secondaire superieur (Groupe histoire)","Uliege"
"Agrege de l'enseignement secondaire superieur (Groupe histoire de l'art et archeologie)","Uliege"
"Agrege de l'enseignement secondaire superieur (Groupe philologie germanique)","Uliege"
"Agrege de l'enseignement secondaire superieur (Groupe philologie romane)","Uliege"
"Agrege de l'enseignement secondaire superieur (Groupe sciences de gestion)","Uliege"
"Agrege de l'enseignement secondaire superieur (Groupe sciences economiques)","Uliege"
"Agrege de l'enseignement secondaire superieur (Information et communication)","Uliege"
"Agrege de l'enseignement secondaire superieur (Langues et litteratures modernes (orientation generale))","Uliege"
"Agrege de l'enseignement secondaire superieur (Philologie classique)","Uliege"
"Agrege de l'enseignement secondaire superieur (Philosophie)","Uliege"
"Agrege de l'enseignement secondaire superieur (Psychologie et sciences de l'education)","Uliege"
"Agrege de l'enseignement secondaire superieur (Sante)","Uliege"
"Agrege de l'enseignement secondaire superieur (Sciences biologiques)","Uliege"
"Agrege de l'enseignement secondaire superieur (Sciences chimiques)","Uliege"
"Agrege de l'enseignement secondaire superieur (Sciences geographiques)","Uliege"
"Agrege de l'enseignement secondaire superieur (Sciences mathematiques)","Uliege"
"Agrege de l'enseignement secondaire superieur (Sciences physiques)","Uliege"
"Agrege de l'enseignement secondaire superieur (Sciences sociales)","Uliege"
"Certificat d'aptitude pedagogique approprie a l'enseignement superieur (CAPAES en droit et criminologie)","Uliege"
"Certificat d'aptitude pedagogique approprie a l'enseignement superieur (CAPAES en economie, gestion et sciences sociales)","Uliege"
"Certificat d'aptitude pedagogique approprie a l'enseignement superieur (CAPAES en medecine)","Uliege"
"Certificat d'aptitude pedagogique approprie a l'enseignement superieur (CAPAES en medecine veterinaire)","Uliege"
"Certificat d'aptitude pedagogique approprie a l'enseignement superieur (CAPAES en philosophie et lettres)","Uliege"
"Certificat d'aptitude pedagogique approprie a l'enseignement superieur (CAPAES en psychologie et sciences de l'education)","Uliege"
"Certificat d'aptitude pedagogique approprie a l'enseignement superieur (CAPAES en sciences)","Uliege"
"Certificat d'aptitude pedagogique approprie a l'enseignement superieur (CAPAES en sciences appliquees)","Uliege"
"Certificat d'universite: competence en medecine d'assurance et expertise medicale","Uliege"
"Competence en pathologie professionnelle","Uliege"
"Expert en radioprotection","Uliege"
"Conseiller en prevention de niveau 1","Uliege"
"Mise en <U+009C>uvre de formations utilisant efficacement les TIC en milieu associatif (CERTICA)","Uliege"
"Preparation du projet doctoral","Uliege"
"Agriculture Urbaine et Peri-Urbaine","Uliege"
"Enseignement du Francais Langue Etrangere et Seconde (CEFLES)","Uliege"
"Epidemiologie clinique et en economie de la sante","Uliege"
